,q_text,answer,q_type
366,南京工业大学浦江学院的邮编是多少呢？,211816,4
367,管理学这本书是哪个出版社出版的？,经济管理出版社,6
368,失乐园的出版时间是什么时候？,6-Oct,5
369,东湖是什么时候开放？,08:00-17:00,5
370,橡树湾的容积率大概有多少？,1.7,4
371,请问一下美团网的年营业额有多少？,160亿元（2013年）[3],4
372,首尔大学有哪些院系？,人文类、工学类、艺术类等,6
373,请问孙悟空的配音都有谁呀？,野泽雅子（日本） 王晓燕、刘艺（中国大陆） 卢素娟、林国雄、谢洁贞（中国香港） 贺世芳、赵明哲、于正升、于正昌、张文仪、李景唐（中国台湾）,2
374,晋青椒4号的审定编号是多少呢？,晋审菜（认）2011008,4
375,玄武是什么身份呢？,天秤座黄金圣斗士,2
376,有人知道卧龙山在哪里吗？,中国 四川绵阳市梓潼县卧龙镇境内,3
377,天龙八部每集有多少分钟？,45分钟,4
378,天宁寺是什么时候建成的？,1993年7月15日,5
379,《霍元甲》由哪个公司制作的？,天津津源影视有限公司，华夏视听环球传媒有限公司，东阳环宇影视文化传媒有限公司，,6
380,索尼kdl-32w650a的定位是什么？,全高清电视,1
381,慈云寺是什么时候修建的呀？,唐代,5
382,请问比亚迪的总部在哪里呢？,深圳市坪山区比亚迪路3009号,3
383,能给我简要介绍一下《神雕侠侣》吗？,由张纪中导演，刘亦菲、黄晓明主演的新版神雕侠侣，于2006年央视首播。,1
384,橡树湾在那个城区？,仓山,3
385,巴夏诺隶属于什么省？,拉蒂纳省,3
386,麻烦你给我介绍一下《红楼梦》好吗？,中国社会科学院文学研究所专家介绍，《红楼梦《石头记》流传，不幸的是八十回后竟“迷失无稿”。程伟元经“竭 力搜罗”补成全书，名为《绣像红楼梦》，于乾隆五十六年（1791年）由萃文书屋活字排印出版。》最初以抄本,1
387,韭葱马铃薯奶油汤需要什么食材？,橄榄油1匙,6
388,american eagle是什么产品的牌子？,男女士服装等,6
389,《犯罪学》全书一共多少个字？,471000,4
390,微波五彩茄子需要什么食材？,紫色长茄2个，香菜2棵，,6
391,机动战士敢达 seed astray的名称是什么？,机动战士敢达 seed astray,2
392,你知道辣条有什么副作用吗？,高血压、腹泻,1
393,制霉素片的用途有哪些分类？,抗生素类,6
394,曲可伸是否为处方药？,处方药,1
395,w酒店属于哪种酒店类型？,酒店[1],6
396,李尔王属于什么级别？,finland:s,2
397,intel 酷睿i7-3770cpu主频是多少？,3.4ghz最大睿频3.9ghz,1
398,古巨基的配偶叫什么？,陈英雪,2
399,西方法律哲学家研究年刊2008是哪种平装？,535页正文语种,1
400,ctx-生物导融技术有什么功效？,提高机体免疫标本兼治,1
401,你知道tcp/ip详解卷1：协议（英文版·第2版）的原名是什么吗？,"tcp/ip illustrated, volume 1 the protocols, second edition",1
402,巴斯克维尔的猎犬属于什么类型？,犯罪，恐怖，悬疑,6
403,你知道萨博的生日是什么时候吗？,1987/2/26,5
404,2001年特拉万卡有多少人？,248,4
405,《华山论剑》在哪个平台上？,pc pc pc,6
406,柱七的光谱分类是什么？,b5iab,6
407,柱七的视星等（v）是什么？,4.744,6
408,金黄甘薯脯是利用什么工艺做的？,煮,6
409,沙漠旋转工地有多难？,4星级,1
410,温泉镇有个什么机场？,威海国际机场,3
411,红的制作人是谁？,和平之月,2
412,黔城人才网网站的名称是什么？,黔城人才网,1
413,tr的全称是什么？,terres reres,1
414,卢卡斯有什么专业特点？,前锋，助理教练,2
415,月季花二名法是什么？,rosa chinensis jacquem.,1
416,你知道和平路多长吗？,约1.6公里,4
417,你知道堇青石是什么颜色的吗？,浅至深的蓝，紫，无色、黄的白,1
418,博略是什么区？,vire,3
419,华硕eahg4670酷翼版的芯片厂商是哪里？,atin,6
420,王军出生在哪里？,中国天津,3
421,奥康集团有限公司在哪里成立的？,浙江,3
422,你知道武定宇的职务是什么吗？,北京联合大学艺术设计系讲师,2
423,西游记是什么时候首播的？,2010年1月3日,5
424,九龙珀丽酒店周围有哪些景观？,香港理工大学、维多利亚港,3
425,柱七的b?v 色指数是多少？,0.34,4
426,莫亚自治区是哪里？,加那利群岛,3
427,htc是什么样的组织形式呢？,股份制,6
428,mx视频播放器的分辨率是多少？,320x480 480x800 480x854,4
429,柱七的u?b 色指数是多少？,-0.46,4
430,新桥镇有什么特色？,最具活力的经济区域—上海,1
431,你知道业个怎么读吗？,yē ge,1
432,大熊座47c多长时间一个周期？,6地球年,5
433,茶花女的imdb编码是多少？,tt0109527,4
434,你知道卡贝的主要作品有哪些吗？,《世界语原文小词典》,6
435,龙泉镇建立的时间是什么时候？,公元700年,5
436,黑色食品的主要食用功效有哪些？,清除自由基，延缓衰老，改善营养性贫血,1
437,是谁监制了射雕英雄传呢？,王天林,2
438,小米手机3是什么时候发布的？,2013/9/5,5
439,海王星距太阳最近有多远？,"4,452,940,833km",4
440,fantasy的专辑语言是哪种？,日语,6
441,海王星距太阳最远有多远？,"4,553,946,490km",4
442,2008年诺基亚有多少员工？,"128,445（2008年底）",4
443,五诸侯一的 r?i 色指数是什么？,[1][2],4
444,微星k8t neo2-f主芯片组是什么样的？,via k8t800pro,1
445,你知道地球半长轴的长度吗？,"149,597,887.5km",4
446,博略的大区是什么？,下诺曼底,3
447,大河边村的国土面积多大？,6.53平方公里,4
448,七彩龙虾有什么特征？,身体呈青绿色,1
449,小行星615发现地是哪里？,海德堡,3
450,微分销的软件名称是什么？,v5shop微信分销系统,6
451,你知道曲可伸是如何服用的吗？,口服。,1
452,游敏是什么时候出生的？,1958年7月,5
453,恒大金碧天下有哪些建筑形式？,联排 独栋 双拼,1
454,文庙属于什么景点级别？,河北省重点文物保护单位,1
455,华优86的选育单位是哪里？,华南农业大学农学系,6
456,絮勒什·马加什是什么政党的人？,匈牙利劳动人民党,6
457,大手町站离高滨多远？,8.5km（起点站：高滨）,4
458,中国农业银行有哪些产品服务？,商业银行、投行、保险和基金等,1
459,怪医黑杰克是由哪些组织制作的？,朝日电视台、松竹、加山兴行会社,6
460,你知道2009年巴夏诺有多少人吗？,"1,662",4
461,微软游戏工作室产品包括什么？,xbox（包括xbox360与xboxone）,6
462,中华人民共和国最高人民法院刑事审判第一庭有什么职责？,处理相关的死刑喊冤案件,1
463,pny 8800u 显卡芯片是什么样的呢？,geforce 8800 ultra,1
464,中国人民解放军空军航空医学研究所附属医院属于什么等级？,三级甲等[2],4
465,截拳道创立于什么时候？,1967年5月,5
466,城关镇有什么著名景点？,悬鼓观 黄山公园,3
467,北京军区政治部战友文工团的代表作有什么？,《郝家村的故事》,6
468,亚马逊中国属什么网站类型？,b2c电子商务网站,6
469,向阳村隶属于哪里？,白水镇中心村委会行政村,3
470,华夏银行注册资本是多少？,68亿元,4
471,你知道吴山的字是什么吗？,岩子,2
472,中国十大瀑布包括哪些？,贵州黄果树瀑布,3
473,侧板属于什么学科？,生命科学总论,6
474,mb200(dext cliq)的外观设计是什么样子的？,3.1英寸,1
475,神州长城装饰工程有限公司的注册资金有多少？,7013.6099万元人民币,4
476,天途的开发商是什么？,战争策略类,2
477,房屋风水学属于什么系列丛书？,国际大师风水系列,6
478,回到过去变成猫属于什么小说性质？,vip作品,6
479,河北金融学院的主管部门是什么？,河北省人民政府,6
480,东北凉菜菜名是什么？,凉菜,1
481,有什么关于新党的基本资料？,1993年8月10日（21年165天） 台北市,1
482,柯尼卡美能达363的接口类型是什么样子的呢？,usb2.0 10base-t/100base-tx,1
483,兰多夫有多重？,95.3公斤/210磅,4
484,nsk 22313轴承的外径有多大？,65mm,4
485,jerry有多高？,183公分,4
486,梅林传奇的官方网站是什么？,http://www.bbc.co.uk/merlin/,1
487,你知道个人存款帐户的种类吗？,个人银行结算账户,6
488,博略insee/邮政编码是什么？,14052 /?14350,4
489,博略人口2人口密度相当于什么？,53/平方公里（140/平方英里）,4
490,俪园的物业类型属于什么？,公寓,6
491,明治大学有哪些主要院系？,法、商、文、农、理工、政経、経営、教养设计、国际日本,6
492,鲁棉研19来源于什么？,鲁613系,6
493,你知道砖庙村属于哪个市吗？,运城市,3
494,阳江市审计局内设了什么机构？,办公室,6
495,第3次吉田内阁的假名是什么？,だいさんじよしだだいにじかいぞうないかく,1
496,你知道铔的部首有几画吗？,5,4
497,你知道石膏的化学式吗？,caso4·nh2o,1
498,你知道万达广场总建筑面积是多少吗？,约86万平米,4
499,2014年克里米亚危机发生在什么时候？,2014年2月23日－现在 （7月3周）,5
500,你知道高村有多少亩耕地吗？,8590亩,4
501,梅花落属于什么类别的诗？,闺情诗,6
502,觅仙路写到哪里了？,完结,1
503,你知道巴斯克维尔的猎犬的分级吗？,italy:t,6
504,你知道lg集团的网址吗？,http://www.lg.net,1
505,你知道高等教育研究的创刊时间吗？,1984年,5
506,技嘉ga-ma69g-s3h的cpu插槽是什么？,am2 940,6
507,新青年的主管单位是什么？,《新青年》杂志社,6
508,民主党的总部在哪里？,430 south capitol street se 华盛顿哥伦比亚特区 20003,3
509,联邦星舰进取号现在处于什么状态？,退役,1
510,立风超市收银系统是哪个版本的？,windows2000,6
511,张杰活跃在什么年代？,2004年－至今,5
512,《人物》的主办单位是哪家？,time warner 媒体集团,6
513,不逊的繁体字怎么写呢？,不逊,1
514,thinkpad x230 232045c是什么处理器型号的？,intel 酷睿 i5 3360m,6
515,益阳市保密局的职能是干什么的？,保密法律、法规、方针政策。,1
516,你知道佐佐木望用日语怎么写吗？,佐々木 望,1
517,柱七的径向速度是多少？,-0.2 km/s,4
518,歇后语是哪种语种里的？,汉语,6
519,博大教育集团属于什么产业？,教育产业,1
520,神道的平文式罗马字怎么写呢？,shintō,1
521,维生素d3属于什么剂型？,滴剂,6
522,金奥聪主要适用于什么症状？,健脑补脑,1
523,生存战争内容的主题是什么？,创造、生存、地狱、冒险,1
524,你知道家庭百科报的出版周期吗？,每周五出报,5
525,是谁导演了巴斯克维尔的猎犬？,maurice elvey,2
526,美尚奢品属于什么行业？,服饰、箱包、鞋帽、配饰、化妆品、手表、礼品,6
527,正睿i2tw2-4638(xeon e5-2609/4gb/500gb/quadro 600)的显示内存是多少？,500gb,4
528,使命召唤：现代战争3主要角色有哪些？,普莱斯，尤里，睡魔，寒霜，马卡洛夫,1
529,卡惠的平台有哪些？,ios，安卓,6
530,马卡龙有哪些存储方法？,冷藏/冷冻保存,1
531,你知道trilogi的项目位置吗？,caydon properties,3
532,《乱世英雄传》的发行商是什么？,成都千与千寻网络科技有限公司,6
533,很纯很暧昧最先在哪个网站发行？,起点中文网,6
534,2009年埃克有多少人？,352,4
535,克里米亚属于哪个国家？,俄罗斯联邦,3
536,hp jornada 720处理器主频是多少？,206(mhz),4
537,页游公平模式的概述是什么？,何为页游公平模式,1
538,会展中心站车站位于哪里？,西安市雁塔区,3
539,西河有多长？,61.8 公里,4
540,《科学》多长时间出版一期？,周刊,5
541,你知道白云山门票多少钱吗？,80元,4
542,《父亲》属于哪个电影等级？,argentina:13，chile:14，france:u,4
543,暴风雨是什么时候上映发行的？,1979年9月13日,5
544,会展中心站经过哪条地铁线？,2号线,3
545,池宇峰的公司叫什么？,洪恩教育科技股份有限公司,6
546,三星nighteffect手机属于什么类型？,音乐手机,6
547,蔡依林都有哪些昵称？,jolin、公主[1]、拼命三娘[2]、地才、流行教主 、亚洲玛丹娜、 亚洲天后,2
548,php动态网站开发哪种纸张？,胶版纸,6
549,御坂美琴是哪个等级的？,超能力者(level 5),4
550,新世界四季御园属哪个板块？,罗湖 ? 莲塘,3
551,金牌大风的产业是什么？,唱片制作发行 音乐版权 电影制作,6
552,技嘉ga-b75m-d2v的内存是什么类型的？,lga 1155,6
553,巴斯克维尔的猎犬的主演是谁？,eille norwood,2
554,龙潭水库什么时候完工的？,1984年,5
555,netgear rnd4210的硬盘容量是多少？,4,4
556,nsk 51217轴承有多厚？,125mm,4
557,蔡依林是什么教育程度的？,台北市立景美女中 私立天主教辅仁大学英国语文学系学士,2
558,bzc51适用什么范围？,户内,1
559,文庙始建于什么时候？,明崇祯十二年,5
560,四川师范大学有哪些知名校友？,欧泽高、杨泉明、李言荣、李承鹏? 李易峰,2
561,夏尔·戴高乐的前任是谁？,勒内·科蒂,2
562,高峰擅长什么运动？,柔道,6
563,萝莉信长养成计划属于什么小说类别？,小说类别,6
564,你知道西红柿焖凤爪的做法吗？,鸡爪洗净,1
565,你知道真福epi-750的额定功率是什么方式的吗？,在线式,1
566,女演员里有哪些代表人物？,巩俐、张曼玉、范冰冰、赵薇,2
567,阿里郎是哪个地区的歌曲呢？,朝鲜,3
568,我想知道三合乡分布了哪些少数民族？,满族、蒙族、朝鲜族,6
569,武汉大学学报（医学版）在咱们国内的刊号是多少呢？,cn42-1677/r,4
570,小行星194的平近点角是多少度？,343.1141588,4
571,我想问一下多沦落猛龙队是啥时候建立的？,1980年,5
572,谁知道巴斯克维尔的猎犬是谁拍摄的？,james welland,2
573,信用控制管理目的在于？,1、树立风险意,1
574,大安区一共有多少户居民？,"5,346户",4
575,新版的《神雕侠侣》制片人是谁啊？,张纪中,2
576,请问htc one发布会是啥时候？,2014年3月25日，10个月前,5
577,无花果按分类来说的话属于哪个亚属？,无花果亚属,6
578,昆西·杜比有什么重要成绩吗？,cba个人单场75分（历史第一） cba总决赛单场53分（历史第一） cba全明星赛单场44分（历史第一） cba总决赛单场三分球记录(10个),2
579,勾股定理是谁提出的？,毕达哥拉斯,2
580,孙中山卸任后谁取代了他的位置？,袁世凯,2
581,泰勒·斯威夫特主要搞什么类型的音乐？,乡村音乐、流行音乐、乡村摇滚,6
582,日本国旗是从什么时候开始用的？,1999年8月13日（法定）,5
583,我想知道关于打电话的一些相关介绍。,来自马季&郭启儒合说的一段相声,1
584,长沙站是几级的车站啊？,一等站,4
585,白色情人节在中国被称为什么？,白色情人节,1
586,amd5000+适用什么类型？,台式cpu,6
587,ddt的全名是什么？,深度死亡体验,1
588,《人物》何时创刊？,1974年,5
589,满招损，谦受益怎么用？,复句式；作补语,1
590,美女与野兽什么时候拍的？,2012年11月,5
591,告诉我一些凤凰山的其他信息？,旧时谷中有盘路，登峰视道中往来行人如蚁。峰顶二石钩连于此，名试心石。旧传朝山者登之，心诚则不动，不诚则摇跌入崖底。,1
592,神雕侠侣由谁作曲？,周华健,2
593,亚历山大一世的父亲是谁？,保罗一世,2
594,梁氏从何起源？ ,自赢姓,1
595,炼金术士的定位如何？,耐久、核心、控制,1
596,校园异灵录的小说谁写的？,综合其他,2
597,siteapp有什么优势？,快速生成 内容自动同步,1
598,minecraft的最新版本有哪些？,pc：1.8.1 tv：0.9.5 android：0.10.5 ios：0.10.5,1
599,琼山中学属于什么类型的学校？,省一级学校 市重点中学,6
600,武汉大学学报的国际刊号是多少？,1671-8852,4
601,湖南省民办教育收费管理办法由哪个单位发布？,湖南省物价局、湖南省教育局,6
602,阿富汗战争由哪些国家参战？,塔利班、基地组织，以美国为首的联军,3
603,王军的具体资料有哪些？,女足u-19青年队主教练,2
604,科学通报的国内刊号是多少？,（中）?11-1784/n，（英）11-1785/n,4
605,东京新国立竞技场在哪里？,日本东京都新宿区霞丘町10番2号,3
606,香洲长途汽车站的具体地址？,广东省珠海市香洲区海滨南路,3
607,华严寺何时建造？,明代万历年间,5
608,雨润国际广场总共投资多少钱？,10亿元人民币,4
609,龘的部首是什么？,龍部（部外笔画：35）,1
610,索尼 affm是什么网络模式？,gsm，wcdma,6
611,尼康p5100的产品有多重？,约 200 g,4
612,胡椒科有多少亚种？,共3100种,4
613,虎牙的本质是什么？,常见的畸形,1
614,微星845pe max2-fisr的cpu是什么类型？,腾4/赛扬4,6
615,许诺多重？,62kg,4
616,离心式加湿器的原理是什么？,离心式转盘在电机作用下高速转动,1
617,城关镇有多少人？,54309人,4
618,安徽合肥沃顿环保技术有限公司的经营理念是什么？,利益共享、 价值为尊、 以人为本,1
619,辛烷的cas号是多少？,583-48-2,4
620,天行者属于什么类型？,动作，剧情,6
621,龙泉镇有什么其他的名字？,王店镇,3
622,明治大学现在的校长叫什么？,福宫贤一,2
623,白胸苦恶鸟印度亚种何时命名的？,"sharpe,1894",5
624,李中言在哪个医院上班？,吉林医药学院附属医院,6
625,宠物情人现在的连载状态如何？,2000年开始连载至2005年完结,1
626,如何祭牛神？,祭日要让牛休息，并用鸡、鸭等祭,1
627,新城中学有多少学生？,1400多人,4
628,延冈市的罗马拼音是什么？,no be o ka si,1
629,死亡日记的配乐作曲叫什么？,air,2
630,哈姆雷特的剪辑叫什么？,girish bhargava,2
631,橡树湾的物业费怎么收取？,3.4元/月/平米,4
632,文峰塔有多高？,48.5米,4
633,小米手机3的处理器是什么？,nvidia tegra4(t)和骁龙800(w/c),6
634,苹果在哪年由谁命名的？,mill.，1768;,2
635,山西大学的校训是什么？,中西会通、求真至善、登崇俊良、自强报国,1
636,木工机械及配件的署名叫什么？,2010中国木工机械及配件采购名录,6
637,地狱少女由谁写的？,永远幸,2
638,橡树湾有多少住户？,5400,4
639,回转式刮泥机是什么结构？,桥架,1
640,数码兽世界：复元怎么发行的？,万代南梦宫（万代名义）,1
641,奉高县有什么历史？,汉武帝元封初年,1
642,陈杰的主要研究方向是？,车辆工程等,2
643,三合乡的特色产业有？,盛产多种鱼类、绿色稻米和优质芦苇,1
644,国立台湾大学的具体地址是？,台北市罗斯福路四段一号,3
645,相变应用在哪个学科？,化学工程-化工热力学,6
646,金堤的说明有哪些？,阳谷县与河南省范县的分界线,1
647,paradise由谁演唱的？,李雅薇,2
648,离心泵是什么材质的？,铸铁.铸钢.不锈钢.氟塑料.玻璃钢,6
649,涿州影视城的经营理念如何？,影视为表、旅游为里，文化为魂,1
650,茂恒园的具体地址是什么？,彩云路18号。物业类型,3
651,李荣浩在什么地方发行？,中国台湾（首发），大陆,3
652,望夫石是什么体裁的？,五绝,6
653,2130酚醛树脂的外观是什么样？,红棕色粘稠液体,1
654,acer x1211k使用什么投影技术？,dlp,6
655,空之境界何时上映？,2007年12月1日,5
656,全美超级模特儿新秀大赛何时播出？,2009年3月4日－2009年（美国）,5
657,河麂又被叫做什么？,獐子 黄子 香獐 马獐 麝、土麝 河麂,1
658,做你的男人是什么语？,国语,6
659,南红玛瑙分布在哪里？,云南保山、四川凉山等地区,3
660,spot卫星的轨道参数如何？,高度为830km,4
661,上海市儿童医院是什么类型的医院？,儿科医院,6
662,蓝影人逃上天的具体操作指南是？,加载完毕点击start game,1
663,五铢钱是什么单位的？,货币,6
664,杜甫祖籍在哪？,湖北襄阳,3
665,西北大学的校长是谁？,morton o. schapiro,2
666,白冰的母校是哪里？,中共中央党校 西北师范大学,3
667,德生cr-1100dsp的外形尺寸如何？,258*148*63mm,4
668,天翼日程什么时候更新的？,2014/6/8,5
669,验证码识别是出于什么原因？,表面方向不连续,1
670,巴斯克维尔的猎犬由谁编剧？,carla von stackelberg,2
671,华纳我爱经典系列有多少曲目？,15,4
672,鹤见站属于哪条线路？,■鹤见线,3
673,城关镇的电话区码是多少？,736,4
674,银河护卫队票房如何？,5.94亿元（中国大陆）,4
675,李宁玉扮演谁？,李冰冰（电影《风声》）,2
676,中国风站是什么类型的软件？,绿色软件,6
677,张立是什么专业的？,医学系,6
678,恐怖鸟是什么时期的？,6400万年前至1万年前,5
679,马科斯·儒尼奥尔·利马·多斯·桑托斯在球场上是什么位置的？,前锋,2
680,渡良濑准是男是女？,男,2
681,溪口镇有多大？,220.72平方公里,4
682,飞魔幻的国际刊号是多少？,cn41-1357/i,4
683,《忘忧草》由谁演唱？,周华健,2
684,精忠岳飞由谁运营？,欢乐园游戏,6
685,kty84温度传感器有哪些特性？,精度等级 0.5%,1
686,吉林艺术学院的具体校址是哪？,自由大路695号、红旗街2077号,3
687,春丽有哪些作品？,《街头霸王》,6
688,钩端螺旋体病肺出血型在哪里就诊？,传染科,6
689,htc one何时上市的？,2014年6月,5
690,江陵之战的结果如何？,吴军获胜,1
691,想你由谁演唱？,张国荣,2
692,氢氧化钾的cas登录号是多少？,1310-58-3,4
693,下寨自然村的年降水量是多少？,1230毫米,4
694,金沙城中心是什么等级的？,五星级[1],4
695,p2p终结者使用什么软件版本？,4.27 最新安装版,6
696,文理书院有多少学生？,1029人,4
697,夏普lcd-37gx3的屏幕比例是多少？,185w,4
698,对天然气管道做了什么备注？,世界管道总长天然气管道约占一半,1
699,美丽风毛菊是什么组？,纤维组?sect. laguranthera,6
700,礼物由谁作词？,楚男,2
701,文峰塔什么时候建造的？,宋代,5
702,越南战争在哪发生的？,越南,3
703,聊斋有哪个公司制作的？,云南电视台、上海影视,6
704,城关镇的邮编区码是多少？,415200,4
705,共青团合肥市委员会的主要职责是什么？,领导全市共青团工作,1
706,新华路有多长？,1060米,4
707,比亚迪有多少员工？,164177（2014年）,4
708,《最游记》最主要的角色有谁？,玩家,2
709,聂氏字辈属于哪个范围？,四川省大部,3
710,剑子仙迹属于哪个星座？,双子座,6
711,线性代数的书号是多少？,36843,4
712,室宿二有多亮？,1500 l☉,4
713,超级星光大道在哪个电视台插映？,中视无线台（星期五22时整全球首播） 中天娱乐台（星期六22时整延播）,6
714,铁狮玉玲珑2的制片商是谁？,台湾好孩子国际娱乐有限公司,2
715,石家庄阳光格瑞酒店距火车站有多远？,7.7公里,4
716,华为s1700-28fr-2t2p传输速率有多少？,28个,4
717,大争之世完成时有多少字？,1452757,4
718,范蓁蓁是什么风格的人？,爵士，简约，文艺女青年,2
719,恒大名都何时开盘？,11-Jun,5
720,刘在石信奉什么宗教？,佛教(参考naver人物和维基百科)[5],6
721,凤凰山在什么地方？,辽宁凤城,3
722,西游记属于哪个国家？,中国大陆,3
723,河南天地粤海酒店离机场有多远？,新郑国际机场 38公里,4
